0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
11,TN,93.0,2180.0,2185.0,2168.0,2172.0,2166.0,2171.0
12,Micro F1,0.9945280437756497,0.9990880072959416,0.9986320109439124,0.9945280437756497,0.9986320109439124,0.9945280437756497,0.9990880072959416
13,Macro F1,0.9682643049405227,0.958104080696928,0.8842723706661507,0.8407253183556869,0.9611933959760046,0.8557616416732439,0.9759602736122073
14,Weighted F1,0.994370066399198,0.9990502166766709,0.9984746352921541,0.9945280437756497,0.9985798680261296,0.9942699937484951,0.9990880072959416
15,Log-Loss,0.18899904783770757,0.031499112079262905,0.047248668118893854,0.18899686015664,0.04724866811889385,0.18899613092961748,0.03149947669277416
16,ROC AUC,0.9428571428571428,0.9230769230769231,0.8125,0.8407253183556868,0.9285714285714286,0.825165297535564,0.9759602736122073
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9849667474587025,0.9370483288166215,0.8125,0.8409090909090908,1.0,0.980099260412612,0.9997743682310469
2,Accuracy,0.9977578475336323,0.9982062780269059,0.9986547085201793,0.9968609865470852,1.0,0.9955156950672646,0.9995515695067264
3,Error Rate,0.0022421524663677195,0.0017937219730941312,0.0013452914798206539,0.003139013452914785,0.0,0.004484304932735439,0.0004484304932735883
4,Precision,0.9985902255639098,0.875,1.0,1.0,1.0,0.75,0.9333333333333333
5,Recall,0.999059708509638,0.875,0.625,0.6818181818181818,1.0,0.9642857142857143,1.0
6,Specificity,0.970873786407767,0.999096657633243,1.0,1.0,1.0,0.9959128065395095,0.9995487364620939
7,F1,0.9988249118683901,0.875,0.7692307692307693,0.8108108108108109,1.0,0.8437499999999999,0.9655172413793104
8,TP,2125.0,14.0,5.0,15.0,15.0,27.0,14.0
9,FP,3.0,2.0,0.0,0.0,0.0,9.0,1.0
10,FN,2.0,2.0,3.0,7.0,0.0,1.0,0.0
11,TN,100.0,2212.0,2222.0,2208.0,2215.0,2193.0,2215.0
12,Micro F1,0.9977578475336323,0.9982062780269059,0.9986547085201793,0.9968609865470852,1.0,0.9955156950672646,0.9995515695067264
13,Macro F1,0.9872173339829755,0.9370483288166215,0.8842780785663629,0.9046140872955253,1.0,0.9207376023657871,0.9826457793445864
14,Weighted F1,0.9977526423417553,0.9982062780269059,0.9984999363551541,0.9965665368002722,1.0,0.9957918837753034,0.9995592504654552
15,Log-Loss,0.07744227837078305,0.06195367927107862,0.04646472160750416,0.10841768375084172,9.992007221626415e-16,0.15488563243317527,0.015488599099705425
16,ROC AUC,0.9849667474587025,0.9370483288166214,0.8125,0.8409090909090908,1.0,0.980099260412612,0.9997743682310469
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.948000709696698,0.8461538461538461,0.8,0.8902088175894525,0.9995633187772925,0.8507543979449159,0.9642857142857143
2,Accuracy,0.9947939262472885,0.9982646420824295,0.9991323210412147,0.9956616052060737,0.9991323210412147,0.9943600867678959,0.9995661605206074
3,Error Rate,0.0052060737527115375,0.0017353579175705125,0.0008676789587852562,0.004338394793926281,0.0008676789587852562,0.00563991323210411,0.0004338394793925726
4,Precision,0.9954873646209387,1.0,1.0,0.782608695652174,0.8823529411764706,0.7916666666666666,1.0
5,Recall,0.9990942028985508,0.6923076923076923,0.6,0.782608695652174,1.0,0.7037037037037037,0.9285714285714286
6,Specificity,0.8969072164948454,1.0,1.0,0.9978089395267309,0.9991266375545852,0.9978050921861282,1.0
7,F1,0.9972875226039785,0.8181818181818181,0.7499999999999999,0.782608695652174,0.9375,0.7450980392156864,0.962962962962963
8,TP,2206.0,9.0,3.0,18.0,15.0,19.0,13.0
9,FP,10.0,0.0,0.0,5.0,2.0,5.0,0.0
10,FN,2.0,4.0,2.0,5.0,0.0,8.0,1.0
11,TN,87.0,2292.0,2300.0,2277.0,2288.0,2273.0,2291.0
12,Micro F1,0.9947939262472885,0.9982646420824295,0.9991323210412147,0.9956616052060737,0.9991323210412147,0.9943600867678959,0.9995661605206074
13,Macro F1,0.9663856967858602,0.9086549893001505,0.8747827031725336,0.8902088175894525,0.9685315640017476,0.8711232683466017,0.9813723826379293
14,Weighted F1,0.9946866747910869,0.9981076387486016,0.9990240497152516,0.9956616052060737,0.9991592464763572,0.9941960626085063,0.9995581737875595
15,Log-Loss,0.17981488620964528,0.0599371390801063,0.02996856954005365,0.14984458218492847,0.029969263333919326,0.19479743649500741,0.014984284770027324
16,ROC AUC,0.948000709696698,0.8461538461538461,0.8,0.8902088175894523,0.9995633187772927,0.8507543979449159,0.9642857142857143
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9594484032726314,0.8181818181818181,0.7993150684931507,0.8125,0.9368116108306563,0.9983870967741936,0.9404877653540755
2,Accuracy,0.9936218678815489,0.9981776765375854,0.9977220956719818,0.9972665148063782,0.9977220956719818,0.9968109339407745,0.9977220956719818
3,Error Rate,0.006378132118451063,0.0018223234624146212,0.002277904328018221,0.0027334851936218207,0.002277904328018221,0.0031890660592255315,0.002277904328018221
4,Precision,0.9966745843230403,1.0,0.5,1.0,0.8235294117647058,0.78125,0.8333333333333334
5,Recall,0.9966745843230403,0.6363636363636364,0.6,0.625,0.875,1.0,0.8823529411764706
6,Specificity,0.9222222222222223,1.0,0.9986301369863013,1.0,0.9986232216613126,0.9967741935483871,0.9986225895316805
7,F1,0.9966745843230403,0.7777777777777778,0.5454545454545454,0.7692307692307693,0.8484848484848485,0.8771929824561403,0.8571428571428571
8,TP,2098.0,7.0,3.0,10.0,14.0,25.0,15.0
9,FP,7.0,0.0,3.0,0.0,3.0,7.0,3.0
10,FN,7.0,4.0,2.0,6.0,2.0,0.0,2.0
11,TN,83.0,2184.0,2187.0,2179.0,2176.0,2163.0,2175.0
12,Micro F1,0.9936218678815489,0.9981776765375854,0.9977220956719818,0.9972665148063782,0.9977220956719818,0.9968109339407745,0.9977220956719818
13,Macro F1,0.9594484032726314,0.8884314323472604,0.7721563661275923,0.8839279419022774,0.9236686349378569,0.9377887367854207,0.9279973757585698
